Index,State,Year,DoY,Event_Label,Event_Obs,Date,Sex,Site,Orchard,Genotype,Tree,X,Y,Source
15,2,2006,123,first_flowering,2,2006-05-03,FEMALE,Kalamalka,230,3172,NA,Q,14,Chris Walsh
15,2,2006,124,last_flowering,3,2006-05-04,FEMALE,Kalamalka,230,3172,NA,Q,14,Chris Walsh
15,3,2006,125,past_flowering,4,2006-05-05,FEMALE,Kalamalka,230,3172,NA,Q,14,Chris Walsh
16,1,2006,124,before_flowering,1,2006-05-04,MALE,Kalamalka,230,1460,NA,N,18,Chris Walsh
16,2,2006,125,first_flowering,2,2006-05-05,MALE,Kalamalka,230,1460,NA,N,18,Chris Walsh
16,2,2006,130,last_flowering,3,2006-05-10,MALE,Kalamalka,230,1460,NA,N,18,Chris Walsh
16,3,2006,131,past_flowering,4,2006-05-11,MALE,Kalamalka,230,1460,NA,N,18,Chris Walsh
17,1,2006,126,before_flowering,1,2006-05-06,MALE,Kalamalka,230,1467,NA,J,5,Chris Walsh
17,2,2006,127,first_flowering,2,2006-05-07,MALE,Kalamalka,230,1467,NA,J,5,Chris Walsh
17,2,2006,128,last_flowering,3,2006-05-08,MALE,Kalamalka,230,1467,NA,J,5,Chris Walsh
17,3,2006,130,past_flowering,4,2006-05-10,MALE,Kalamalka,230,1467,NA,J,5,Chris Walsh
18,1,2006,127,before_flowering,1,2006-05-07,MALE,Kalamalka,230,1536,NA,F,44,Chris Walsh
18,2,2006,128,first_flowering,2,2006-05-08,MALE,Kalamalka,230,1536,NA,F,44,Chris Walsh
18,2,2006,133,last_flowering,3,2006-05-13,MALE,Kalamalka,230,1536,NA,F,44,Chris Walsh
18,3,2006,134,past_flowering,4,2006-05-14,MALE,Kalamalka,230,1536,NA,F,44,Chris Walsh
19,1,2006,128,before_flowering,1,2006-05-08,MALE,Kalamalka,230,3044,NA,V,53,Chris Walsh
19,2,2006,130,first_flowering,2,2006-05-10,MALE,Kalamalka,230,3044,NA,V,53,Chris Walsh
19,2,2006,135,last_flowering,3,2006-05-15,MALE,Kalamalka,230,3044,NA,V,53,Chris Walsh
19,3,2006,136,past_flowering,4,2006-05-16,MALE,Kalamalka,230,3044,NA,V,53,Chris Walsh
20,1,2006,130,before_flowering,1,2006-05-10,MALE,Kalamalka,230,3075,NA,CC,33,Chris Walsh
20,2,2006,131,first_flowering,2,2006-05-11,MALE,Kalamalka,230,3075,NA,CC,33,Chris Walsh
20,2,2006,138,last_flowering,3,2006-05-18,MALE,Kalamalka,230,3075,NA,CC,33,Chris Walsh
20,3,2006,139,past_flowering,4,2006-05-19,MALE,Kalamalka,230,3075,NA,CC,33,Chris Walsh
21,1,2006,128,before_flowering,1,2006-05-08,MALE,Kalamalka,230,3078,NA,W,21,Chris Walsh
21,2,2006,130,first_flowering,2,2006-05-10,MALE,Kalamalka,230,3078,NA,W,21,Chris Walsh
21,2,2006,135,last_flowering,3,2006-05-15,MALE,Kalamalka,230,3078,NA,W,21,Chris Walsh
21,3,2006,136,past_flowering,4,2006-05-16,MALE,Kalamalka,230,3078,NA,W,21,Chris Walsh
