"Orchard","Clone","X","Y","receptive20","pollenshed20","receptive80","pollenshed80","pickdate","total_cone_weight_kg","thirty_cone_weight_g","Site"
"230","3106","GG","19",2008-05-19,2008-05-18,2008-05-21,2008-05-24,2008-07-29,1.55,212.28,"Kalamalka"
"230","3118","A","30",2008-05-17,2008-05-17,2008-05-19,2008-05-21,2008-07-28,2.5,244.46,"Kalamalka"
"230","3126","P","65",2008-05-13,2008-05-16,2008-05-15,2008-05-19,2008-08-06,1.7,294.5,"Kalamalka"
"230","3140","L","14",2008-05-17,2008-05-16,2008-05-19,2008-05-20,2008-07-28,1.32,212.92,"Kalamalka"
"230","3156","X","6",2008-05-18,2008-05-17,2008-05-20,2008-05-21,2008-08-14,4.08,201.45,"Kalamalka"
"230","3157","F","21",2008-05-19,2008-05-19,2008-05-21,2008-05-23,2008-08-08,4.82,183.99,"Kalamalka"
"230","3172","Q","14",2008-05-13,2008-05-14,2008-05-15,2008-05-19,2008-08-14,0.4,226.59,"Kalamalka"
"307","937","R","2",2008-05-23,2008-05-19,2008-05-23,2008-05-23,2008-08-18,1.94,140.21,"Kalamalka"
"307","946","E","3",2008-05-19,2008-05-19,2008-05-21,2008-05-23,2008-08-27,2.71,174.3,"Kalamalka"
"307","1503","JJ","33",2008-05-19,2008-05-19,2008-05-21,2008-05-23,2008-08-26,1.27,190.68,"Kalamalka"
