"Orchard","Clone","X","Y","receptive20","pollenshed20","receptive80","pollenshed80","pickdate","total_cone_weight_kg","thirty_cone_weight_g","Site"
"234","4060","X","56",2011-05-18,2011-05-18,2011-05-21,2011-05-21,2011-08-03,0.92,0.187,"Vernon"
"234","4075","HH","9",2011-05-18,2011-05-18,2011-05-23,2011-05-23,2011-08-03,1.02,0.183,"Vernon"
"234","4119","KK","25",2011-05-19,2011-05-19,2011-05-23,2011-05-25,2011-08-03,0.58,0.229,"Vernon"
"234","4100","OO","8",2011-05-19,2011-05-19,2011-05-23,2011-05-25,2011-08-03,1.26,0.078,"Vernon"
"234","4080","P","65",NA,NA,NA,NA,NA,NA,NA,"Vernon"
"222","331","U","73",2011-05-17,2011-05-17,2011-05-21,2011-05-21,2011-08-02,1.9,0.354,"Vernon"
"222","222","GG","66",2011-05-18,2011-05-18,2011-05-23,2011-05-23,2011-08-02,0.56,0.162,"Vernon"
"222","298","W","45",2011-05-20,2011-05-20,2011-05-23,2011-05-23,2011-08-02,0.58,0.194,"Vernon"
"222","289","J","33",2011-05-22,2011-05-22,2011-05-27,2011-05-27,2011-08-02,0.4,0.256,"Vernon"
"222","224","GG","109",2011-05-19,2011-05-19,2011-05-22,2011-05-22,2011-08-02,1.09,0.365,"Vernon"
"222","248","V","111",2011-05-20,2011-05-20,2011-05-24,2011-05-24,2011-08-02,0.34,0.184,"Vernon"
"222","284","T","5",2011-05-18,2011-05-18,2011-05-25,2011-05-25,2011-08-02,0.4,0.217,"Vernon"
"222","299","DD","96",2011-05-20,2011-05-20,2011-05-24,2011-05-24,2011-08-02,0.96,0.261,"Vernon"
"222","478","S","69",2011-05-18,2011-05-18,2011-05-23,2011-05-23,2011-08-02,0.09,0.046,"Vernon"
"222","1728","O","13",2011-05-20,2011-05-20,2011-05-25,2011-05-25,2011-08-02,0.72,0.14,"Vernon"
"222","238","L","91",2011-05-20,2011-05-20,2011-05-24,2011-05-24,2011-08-02,0.5,0.263,"Vernon"
"222","406","CC","20",2011-05-18,2011-05-18,2011-05-23,2011-05-23,2011-08-02,0.38,0.156,"Vernon"
"222","1779","FF","65",2011-05-22,2011-05-22,2011-05-27,2011-05-27,2011-08-02,1.68,0.301,"Vernon"
"222","1770","W","36",2011-05-25,2011-05-25,2011-05-29,2011-05-29,2011-08-02,1.4,0.251,"Vernon"
"222","1792","FF","92",2011-05-22,2011-05-22,2011-05-24,2011-05-24,2011-08-02,3.3,0.326,"Vernon"
"218","517","B","41",2011-05-17,2011-05-17,2011-05-23,2011-05-23,2011-08-02,1.34,0.392,"Vernon"
"218","2003","N","11",2011-05-18,2011-05-18,2011-05-23,2011-05-23,2011-08-02,0.65,0.15,"Vernon"
"218","491","E","29",2011-05-17,2011-05-17,2011-05-23,2011-05-23,2011-08-02,0.36,0.189,"Vernon"
"218","2026","A","36",2011-05-18,2011-05-18,2011-05-23,2011-05-23,2011-08-02,1.04,0.245,"Vernon"
"218","1795","K","32",2011-05-19,2011-05-19,2011-05-23,2011-05-23,2011-08-02,0.72,0.259,"Vernon"
"218","1616","E","66",2011-05-21,2011-05-21,2011-05-25,2011-05-25,2011-08-02,0.56,0.138,"Vernon"
"218","1737","AA","49",2011-05-18,2011-05-18,2011-05-23,2011-05-23,2011-08-02,0.6,0.152,"Vernon"
"218","1821","CC","91",2011-05-19,2011-05-19,2011-05-23,2011-05-23,2011-08-02,0.94,0.551,"Vernon"
"218","1808","V","81",2011-05-19,2011-05-19,2011-05-23,2011-05-23,2011-08-02,1.44,0.237,"Vernon"
"218","1798","Z","61",2011-05-22,2011-05-22,2011-05-25,2011-05-25,2011-08-02,1.46,0.224,"Vernon"
"218","1833","E","37",2011-05-20,2011-05-20,2011-05-23,2011-05-23,2011-08-02,0.48,0.299,"Vernon"
"218","2082","D","39",2011-05-19,2011-05-19,2011-05-23,2011-05-23,2011-08-02,0.5,0.179,"Vernon"
"218","2068","N","98",2011-05-17,2011-05-17,2011-05-21,2011-05-21,2011-08-02,0.18,NA,"Vernon"
"218","1792","S","76",2011-05-21,2011-05-21,2011-05-25,2011-05-25,2011-08-02,2.72,0.269,"Vernon"
"218","1739","G","69",2011-05-18,2011-05-18,2011-05-23,2011-05-23,2011-08-02,0,NA,"Vernon"
